"","Patientx"
"cg00000029",0.788041285592454
"cg00000108",0
"cg00000109",0.0731271295327321
"cg00000165",0.947863757049961
"cg00000236",0.252471169243385
"cg00000289",0.0478646025090996
"cg00000292",0.627064583416571
"cg00000321",0.574384001871127
"cg00000363",0.973394844503946
"cg00000622",0.701388830718025
"cg00000658",0.50126821802119
"cg00000714",0.888427139715291
"cg00000721",0.663433713749538
"cg00000734",0.74392706053936
"cg00000769",0.443008143602883
"cg00000807",0.98331626521155
"cg00000884",0.526603156890263
"cg00000905",0
"cg00000924",0.239089568117798
"cg00000948",0.730284761851235
"cg00000957",0.29960944353139
"cg00001099",0.906815324174912
"cg00001245",0.0336835882218157
"cg00001249",0.621517140395596
"cg00001261",0.180659440976505
"cg00001269",0.247959128330167
"cg00001349",0.986684563270392
"cg00001364",1
"cg00001446",0.384456688264018
"cg00001510",0.85433531942527
"cg00001534",0.934574090719652
"cg00001582",0.937791497707106
"cg00001583",0.596207369403748
"cg00001593",1
"cg00001594",1
"cg00001687",0.65354463010887
"cg00001747",0.0846568295847295
"cg00001791",0.0521136278691758
"cg00001793",0.884698665725004
"cg00001809",0.948423221128497
"cg00001854",0.51185990007216
"cg00001874",0.868284681891418
"cg00001930",0.753412237435058
"cg00002028",0.464252246985072
"cg00002033",0.905235877541607
"cg00002080",0.380662817532775
"cg00002116",0.584312633709557
"cg00002145",0.770531476477661
"cg00002190",0.526395890871356
"cg00002224",0.166093927093054
"cg00002236",0.471901465702239
"cg00002406",0.293006403454356
"cg00002426",0.417048186648703
"cg00002449",0.348457466491466
"cg00002464",0.921684413362547
"cg00002473",0.478236317230801
"cg00002490",0.173166693933114
"cg00002531",0.864499255979475
"cg00002591",0.229657215367833
"cg00002593",0.222639781631514
"cg00002597",0.759389029214437
"cg00002646",0.142635219934457
"cg00002660",0.15448961255589
"cg00002719",0.457296545871297
"cg00002749",0.13777728682886
"cg00002769",0.0948766372080286
"cg00002808",0.32494106171635
"cg00002809",0.481054711415554
"cg00002810",0.432829186416811
"cg00002837",0.551369821215017
"cg00002930",0.864598642383307
"cg00003014",0.372118636177132
"cg00003091",0.784874220249022
"cg00003173",0.429848213580556
"cg00003181",0.109494230576112
"cg00003187",0.239511367239924
"cg00003202",0.213790420451638
"cg00003287",0.914314970446519
"cg00003298",0.00780223853448819
"cg00003305",0.715904196927418
"cg00003345",0.151070884204136
"cg00003513",1
"cg00003529",0.740025736247155
"cg00003578",0.60983947585836
"cg00003625",0.031061194578017
"cg00003722",0.403427104496352
"cg00003784",0.083085695672122
"cg00003818",0.498547781797923
"cg00003858",0.651197440424064
"cg00003900",0.908500094822767
"cg00003965",0.39474154761752
"cg00003969",0.781435635505446
"cg00003994",0.304783532426494
"cg00004055",0.116696352110445
"cg00004061",0.269085825680336
"cg00004067",0.267847649260791
"cg00004072",0.210289797322684
"cg00004073",0.822898929226214
"cg00004082",0.582462337998052
"cg00004089",0
"cg00004105",0.970945816814735
"cg00004121",0.931485706901799
"cg00004192",0.529607002617764
"cg00004207",0.47586419275994
"cg00004209",0.484207415014965
"cg00004219",0.712313986820535
"cg00004257",0.908702795519382
"cg00004421",0.524812586540414
"cg00004429",0.854599200925857
"cg00004533",0.324636843864276
"cg00004562",0.637912638657642
"cg00004608",0.240442956350078
"cg00004667",0.157445887969793
