"","Patientx"
"cg00000029",0.797378478507175
"cg00000108",0
"cg00000109",0
"cg00000165",0.680005368475572
"cg00000236",0.0574063257773842
"cg00000289",0
"cg00000292",0.43954624355221
"cg00000321",0.330918171713205
"cg00000363",0.651120472745639
"cg00000622",0.483913372434264
"cg00000658",0.225043104617179
"cg00000714",0.741813364957296
"cg00000721",0.456790774018169
"cg00000734",0.379496345607889
"cg00000769",0.19501571618828
"cg00000807",0.649985912543362
"cg00000884",0.337527785923742
"cg00000905",0
"cg00000924",0.00875770276643567
"cg00000948",0.545395108176076
"cg00000957",0.310281459316329
"cg00001099",0.73722730284202
"cg00001245",0
"cg00001249",0.292398348974821
"cg00001261",0
"cg00001269",0.0865451347682724
"cg00001349",0.743743855646303
"cg00001364",0.840307090625233
"cg00001446",0.324510822931209
"cg00001510",0.702365156665894
"cg00001534",0.722973554480623
"cg00001582",0.75965099453943
"cg00001583",0.386240277517326
"cg00001593",0.694758357183297
"cg00001594",0.852643519481981
"cg00001687",0.499279299403806
"cg00001747",0
"cg00001791",0
"cg00001793",0.732055727657188
"cg00001809",0.646828288963492
"cg00001854",0.330227959570704
"cg00001874",0.463388933048313
"cg00001930",0.498039768193957
"cg00002028",0.245949480230201
"cg00002033",0.659010659250918
"cg00002080",0.160579628697619
"cg00002116",0.414663258132746
"cg00002145",0.516613164624561
"cg00002190",0.263917212972422
"cg00002224",0
"cg00002236",0.335196269261103
"cg00002406",0.230091984455317
"cg00002426",0.206612629641671
"cg00002449",0
"cg00002464",0.678109317007331
"cg00002473",0.232628528394788
"cg00002490",0
"cg00002531",0.641099572205947
"cg00002591",0
"cg00002593",0.14535053934312
"cg00002597",0.432072251338362
"cg00002646",0
"cg00002660",0.0497763214099431
"cg00002719",0.291032781685393
"cg00002749",0.191321556189676
"cg00002769",0
"cg00002808",0
"cg00002809",0.229475143733018
"cg00002810",0.194428958930131
"cg00002837",0.416808969995037
"cg00002930",0.671129551942528
"cg00003014",0.137741499246367
"cg00003091",0.580890859680126
"cg00003173",0.225861403723829
"cg00003181",0
"cg00003187",0.246756187693082
"cg00003202",0.0193384640231861
"cg00003287",0.72338579425484
"cg00003298",0
"cg00003305",0.497550366065295
"cg00003345",0
"cg00003513",0.805371935206627
"cg00003529",0.778434144367817
"cg00003578",0.336225685939359
"cg00003625",0
"cg00003722",0.226746437557897
"cg00003784",0
"cg00003818",0.237182196375857
"cg00003858",0.643954387678849
"cg00003900",0.725281657701056
"cg00003965",0.29155070870708
"cg00003969",0.60180121859152
"cg00003994",0.117207681448652
"cg00004055",0
"cg00004061",0.0527678522739668
"cg00004067",0.0808298931579394
"cg00004072",0.228294072155353
"cg00004073",0.802657991660427
"cg00004082",0.413938905114022
"cg00004089",0
"cg00004105",0.964060570147575
"cg00004121",0.854095312544551
"cg00004192",0.530548764976568
"cg00004207",0.676199026290233
"cg00004209",0.528379050210745
"cg00004219",0.596546293435951
"cg00004257",0.736608423877265
"cg00004421",0.551799006684815
"cg00004429",0.848733734949452
"cg00004533",0.497007228534749
"cg00004562",0.85499464551643
"cg00004608",0.289605531394132
"cg00004667",0.121652628686519
"cg00004700",0.814826001378652
"cg00004771",0.863644896396064
"cg00004773",0.894594612648743
"cg00004775",0.873182250039405
"cg00004806",0.47208066259439
"cg00004818",0.531451363098248
"cg00004859",0.119396548540328
"cg00004883",0.973551167712359
"cg00004939",0.615231204492376
"cg00004963",0.406297851164741
"cg00004979",0
"cg00004996",0.0233775569019088
"cg00005010",0.328945784618802
"cg00005040",0.426719690934443
"cg00005072",0
"cg00005083",0.518016698498471
"cg00005112",0.498282151191116
"cg00005164",0.66818595265317
"cg00005166",0.682907079970763
"cg00005215",0.384388607180289
"cg00005297",0.428182681179454
"cg00005306",0.14734354706082
"cg00005390",0.229599613522472
"cg00005437",0.872783201277338
"cg00005541",0.769466997942202
"cg00005543",0.115921443168001
"cg00005617",0.802163495278868
"cg00005619",0.286444933607723
"cg00005622",0.844910043736821
"cg00005740",1
"cg00005817",0.100151984739491
"cg00005847",0.0798204924989135
"cg00005849",0.526975683481703
"cg00005861",0.490515507961268
"cg00006032",0.78435573201088
"cg00006081",0.74192546239793
"cg00006090",0.711207271450951
"cg00006122",0.171649611346345
"cg00006198",0.518561123977704
"cg00006243",0.555271197444028
"cg00006397",0.372184955587603
"cg00006414",0.372616171373233
"cg00006459",0.566626267539152
"cg00006626",0.889027800808546
"cg00006787",0.840057117986686
"cg00006815",0.680047271406552
"cg00006867",0.568585761001332
"cg00006884",0.679801636483263
"cg00006948",0.794829525796183
"cg00007032",0.196852933394118
"cg00007036",0.564373154644679
"cg00007064",0.151980706372731
"cg00007076",0.69841517804636
"cg00007215",0.150792723346299
"cg00007221",0.981884316623653
"cg00007226",0.849032737143764
"cg00007239",0.971259073740328
"cg00007269",0.205490565202595
"cg00007300",0.333470008573046
"cg00007324",1
"cg00007326",0.405120129949271
"cg00007420",0.462780967030256
"cg00007426",0.828100960000399
"cg00007466",0.254773750220615
"cg00007540",0.554164213313776
"cg00007644",0.366066104049979
"cg00007675",0.0181645190850265
"cg00007800",0.401053710875846
"cg00007810",0.210604748830113
"cg00007898",0.0957759945822915
"cg00007981",0.722964185702295
"cg00007987",0.390485940930388
"cg00008004",0.456957213671358
"cg00008033",0.0504927443763415
"cg00008036",0.610605867940077
"cg00008188",0.132555667372676
"cg00008345",0.32600538624781
"cg00008387",0.123542158008401
"cg00008446",0.976647644441064
"cg00008452",0.0810011757929509
"cg00008488",0.517690194032654
"cg00008493",0.337733272870426
"cg00008544",0.867507700885212
"cg00008564",0.755476888073501
"cg00008612",0.834954438181534
"cg00008621",0.85015043909175
"cg00008629",0.243293652510109
"cg00008647",0.856079497732715
"cg00008665",0.867125957646725
"cg00008671",0.824701421098805
"cg00008695",0.146177016476367
"cg00008713",0.697948595581968
"cg00008737",0.156355056331213
"cg00008800",0.435635804585155
"cg00008810",0.69627789610355
"cg00008819",0.728142428866825
"cg00008823",0.866042428530929
"cg00008839",0.35729938123141
"cg00008932",0.266822710925549
"cg00008945",0.991144001481404
"cg00008971",0.144296875646065
"cg00009001",0.254101469303676
"cg00009038",0.611487738077767
"cg00009053",0.899295793799817
"cg00009088",0.524743483247228
"cg00009167",0.95002539503231
"cg00009196",0.311985164337822
"cg00009214",0.42965770648595
"cg00009292",0.572570272925225
"cg00009293",0.78821675099237
"cg00009306",0.25337160359728
"cg00009349",0.502253370285475
"cg00009364",0.640690198822977
"cg00009407",0.202541855869223
"cg00009412",0.548468722749058
"cg00009421",0.225755686806235
"cg00009436",0.794068711159388
"cg00009523",0.0997054277571134
"cg00009553",0.538432146676716
"cg00009750",0.617534594067825
"cg00009796",0.768946962414008
"cg00009834",0.356837327207702
"cg00009871",0.359734916389007
"cg00009916",0.810254800975959
"cg00009922",0.417076988693081
"cg00009927",0.805008822398044
"cg00009944",0.182684603122477
"cg00009970",0.140373945533416
"cg00010046",0.358386974775411
"cg00010078",0.917314208841007
"cg00010108",0.840467282663845
"cg00010168",0
"cg00010242",0.320581179456277
"cg00010266",0.713181625465635
"cg00010445",0.830871102248857
"cg00010654",0.864689809464013
"cg00010659",0.841997202502055
"cg00010672",0.863823443066519
"cg00010742",0.692708267722784
"cg00010789",0.867897161743151
"cg00010853",0.319763685623301
"cg00010890",0.696018373432487
"cg00010932",0.404604653438498
"cg00010946",0.303103809853317
"cg00010947",0.69180021722376
"cg00010954",0.189920846795203
"cg00010992",0.525475473677956
"cg00011122",0.381920954793316
"cg00011200",0.536304624172902
"cg00011203",0.782758438646641
"cg00011225",0.792473726010068
"cg00011239",0.525119084392046
"cg00011247",0.290094450526349
"cg00011284",0.70057385883597
"cg00011346",0.58527722600931
"cg00011350",0.0488426622109243
"cg00011459",0.8765062235683
"cg00011460",0.546220135467279
"cg00011482",0.116370139272322
"cg00011513",0.44794438014403
"cg00011564",0.304659856083155
"cg00011578",0.682430806027377
"cg00011605",0.381147114367744
"cg00011616",0.370415364543447
"cg00011717",0.146822012860074
"cg00011740",0.335263066671445
"cg00011754",0.499041647363816
"cg00011856",0.892832031371679
"cg00011861",0.248729579953562
"cg00011891",0.558592580125133
"cg00011924",0.219184183523324
"cg00011994",0.247883423843203
"cg00012036",0.447427583231003
"cg00012123",0.873104490255985
"cg00012126",1
"cg00012148",0.603850889085681
"cg00012194",0.53840214298907
"cg00012199",0.412323040347394
"cg00012203",0.0291716352764046
"cg00012238",0.552670228558596
"cg00012317",0.674201483763217
"cg00012343",0.364890880127184
"cg00012362",0.452581561023947
"cg00012386",0.636875725468376
"cg00012395",0.270323835713084
"cg00012397",0.886967767123356
"cg00012469",0.0284043050154222
"cg00012522",0.781092317559797
"cg00012529",0.442289181417634
"cg00012576",0.0256999365835153
"cg00012638",0.292002777922492
"cg00012692",0.863235925226325
"cg00012698",0.403079814692052
"cg00012701",0.659523975591027
"cg00012762",0.200870051489008
"cg00012792",0.219154310278245
"cg00012920",0.817788554810839
"cg00012960",0.409377378751921
"cg00012992",0.535711598306799
"cg00013006",0.642402251470548
"cg00013015",0.325573470568868
"cg00013196",0.103165530114577
"cg00013301",0.694041790635618
"cg00013349",0.176951440034984
"cg00013369",0.54733556360938
"cg00013374",0.676826014827432
"cg00013409",0.20332253905795
"cg00013410",0.32245068276696
"cg00013441",0.252610667198033
"cg00013451",1
"cg00013475",0.362095740625115
"cg00013540",0.341979489405717
"cg00013543",0.322824662997975
"cg00013569",0.325335938492569
"cg00013618",0.634078471927551
"cg00013655",0.79540302757694
"cg00013660",0.636328173992399
"cg00013733",0.285983914404675
"cg00013804",0.938176494035249
"cg00013809",0.249640942147075
"cg00013899",0.0477658784475151
"cg00013993",0.1261333489711
"cg00014085",0.460727854759524
"cg00014104",0.216573420524706
"cg00014112",0.313579898976262
"cg00014118",0.399100684378465
"cg00014152",0.975854121624394
"cg00014168",0.33030246431936
"cg00014194",0.475323693285096
"cg00014203",0.448443259114021
"cg00014260",0.0217823253824342
"cg00014272",0.779136657702229
"cg00014285",0
"cg00014289",0.470977973959187
"cg00014301",0.642425264309592
"cg00014333",0.530042148912869
"cg00014377",0.584609197658152
"cg00014445",0.454404445110555
"cg00014484",0.338933812221401
"cg00014561",0.916347823370123
"cg00014638",0.0736770500023537
"cg00014665",0.907153381371687
"cg00014667",0.430903988866241
"cg00014733",0.628047453947128
"cg00014748",0.902034057611883
"cg00014752",0.280823600123739
"cg00014754",0.125988386247946
"cg00014786",0.440055039060433
"cg00014806",0.744583072082981
"cg00014830",0.951183734810864
"cg00014837",0.249872318176899
"cg00014900",0.576292559362589
"cg00014986",0.655218502150654
"cg00014996",0.665478271709994
"cg00014998",0.544413405915506
"cg00015024",0.980372339869912
"cg00015058",0.350770313514993
"cg00015121",0
"cg00015261",0.873542672116396
"cg00015286",0.389555097398626
"cg00015319",0.310144782615781
"cg00015340",0.163505819661808
"cg00015343",0.10986021602505
"cg00015373",0.896418365823387
"cg00015530",0.703565210288579
"cg00015572",0.93464937317708
"cg00015603",0.308363341647529
"cg00015639",0.454326311551408
"cg00015699",0.189859061165174
"cg00015770",0.683869053224744
"cg00015930",0.966808857930882
"cg00016066",0
"cg00016127",0.386192382157369
"cg00016156",0.231884131690676
"cg00016223",0.528449541458075
"cg00016238",0.464550748205671
"cg00016255",0.866348779375498
"cg00016324",0.204287361571065
"cg00016360",0.623819029585397
"cg00016406",1
"cg00016439",0.468525232132229
"cg00016481",0.907178918781384
"cg00016498",0.0742272441019001
"cg00016522",0.367642659734361
"cg00016593",0.322723291109936
"cg00016618",0.714192739136252
"cg00016718",0.773542763134017
"cg00016783",0.612835368895324
"cg00016802",0.117413008190113
"cg00016814",0.475510996138865
"cg00016841",0.609341431703997
"cg00016892",0.152955113235211
"cg00016913",0.0540998312369702
"cg00016934",0.766537350988188
"cg00016968",0.105859893873887
"cg00016996",0.854865711746193
"cg00017002",0.260905432873919
"cg00017033",0
"cg00017059",0.752470024799259
"cg00017062",0.665632606403367
"cg00017121",0.88529706250749
"cg00017157",0.503505019377777
"cg00017188",0.329521626531681
"cg00017203",0.317133465455841
"cg00017221",0.60090871499843
"cg00017271",0.820182372152995
"cg00017362",0.415349295669903
"cg00017363",0.575553254874407
"cg00017429",0.00219322063317643
"cg00017437",0.120987087864994
"cg00017441",0.724039642586748
"cg00017461",0.128303664519844
"cg00017475",0.81226127590048
"cg00017489",0.639370397975578
"cg00017546",0.49359489611582
"cg00017601",0.29597711820104
"cg00017639",0.796119335032443
"cg00017826",0.656929927227483
"cg00017842",0.156066255738899
"cg00017931",0.532292045699346
"cg00017970",0.580070941422348
"cg00018010",0.579723418992679
"cg00018024",0.379776228870868
"cg00018044",0.6679571841836
"cg00018103",0.530729112221522
"cg00018128",0.447675785203922
"cg00018181",0.301961849106095
"cg00018184",0.186228940183049
"cg00018198",0.558577672742354
"cg00018204",0.640770199871599
"cg00018229",0.36605535729157
"cg00018261",1
"cg00018524",0.294109706998109
"cg00018539",0.379412210226307
"cg00018557",0.0463331491137635
"cg00018606",0
"cg00018696",0.338902669441311
"cg00018739",0.655153458679743
"cg00018828",0.864829862701528
"cg00018845",0.799115134271532
"cg00018850",0.438705781400196
"cg00018866",0.422290339889283
"cg00018896",0.754831818877619
"cg00019076",0.730758006994958
"cg00019082",0.243859460600619
"cg00019085",0.962246029791058
"cg00019093",0.238435001844267
"cg00019118",0.612418853608686
"cg00019137",0.0832671887865186
"cg00019151",0.0922632680616938
